"","nuts2_nameLatin_2016","nuts2_code_2016","nuts3_nameLatin_2016","nuts3_code_2016","nuts2_nameLatin_2024","nuts2_code_2024","nuts3_nameLatin_2024","nuts3_code_2024"
"1","Norte","PT11","Alto Minho","PT111","Norte","PT11","Alto Minho","PT111"
"2","Norte","PT11","Cávado","PT112","Norte","PT11","Cávado","PT112"
"3","Norte","PT11","Ave","PT119","Norte","PT11","Ave","PT119"
"4","Norte","PT11","Área Metropolitana do Porto","PT11A","Norte","PT11","Área Metropolitana do Porto","PT11A"
"5","Norte","PT11","Alto Tâmega","PT11B","Norte","PT11","Alto Tâmega e Barroso","PT11B"
"6","Norte","PT11","Tâmega e Sousa","PT11C","Norte","PT11","Tâmega e Sousa","PT11C"
"7","Norte","PT11","Douro","PT11D","Norte","PT11","Douro","PT11D"
"8","Norte","PT11","Terras de Trás-os-Montes","PT11E","Norte","PT11","Terras de Trás-os-Montes","PT11E"
"9","Algarve","PT15","Algarve","PT150","Algarve","PT15","Algarve","PT150"
"10","Centro (PT)","PT16","Região de Aveiro","PT16D","Centro (PT)","PT19","Região de Aveiro","PT191"
"11","Centro (PT)","PT16","Região de Coimbra","PT16E","Centro (PT)","PT19","Região de Coimbra","PT192"
"12","Centro (PT)","PT16","Região de Leiria","PT16F","Centro (PT)","PT19","Região de Leiria","PT193"
"13","Centro (PT)","PT16","Viseu Dão Lafões","PT16G","Centro (PT)","PT19","Viseu Dão Lafões","PT194"
"14","Centro (PT)","PT16","Beira Baixa","PT16H","Centro (PT)","PT19","Beira Baixa","PT195"
"15","Centro (PT)","PT16","Beiras e Serra da Estrela","PT16J","Centro (PT)","PT19","Beiras e Serra da Estrela","PT196"
"16","Área Metropolitana de Lisboa","PT17","Área Metropolitana de Lisboa","PT170","Grande Lisboa","PT1A","Grande Lisboa","PT1A0"
"17","Área Metropolitana de Lisboa","PT17","Área Metropolitana de Lisboa","PT170","Península de Setúbal","PT1B","Península de Setúbal","PT1B0"
"18","Alentejo","PT18","Alentejo Litoral","PT181","Alentejo","PT1C","Alentejo Litoral","PT1C1"
"19","Alentejo","PT18","Baixo Alentejo","PT184","Alentejo","PT1C","Baixo Alentejo","PT1C2"
"20","Alentejo","PT18","Alto Alentejo","PT186","Alentejo","PT1C","Alto Alentejo","PT1C3"
"21","Alentejo","PT18","Alentejo Central","PT187","Alentejo","PT1C","Alentejo Central","PT1C4"
"22","Centro (PT)","PT16","Oeste","PT16B","Oeste e Vale do Tejo","PT1D","Oeste","PT1D1"
"23","Centro (PT)","PT16","Médio Tejo","PT16I","Oeste e Vale do Tejo","PT1D","Médio Tejo","PT1D2"
"24","Alentejo","PT18","Lezíria do Tejo","PT185","Oeste e Vale do Tejo","PT1D","Lezíria do Tejo","PT1D3"
"25","Região Autónoma dos Açores","PT20","Região Autónoma dos Açores","PT200","Região Autónoma dos Açores","PT20","Região Autónoma dos Açores","PT200"
"26","Região Autónoma da Madeira","PT30","Região Autónoma da Madeira","PT300","Região Autónoma da Madeira","PT30","Região Autónoma da Madeira","PT300"
